date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:28	54/54	---M--	200	added ('OK')	text/plain	date:Fri,%2010%20Dec%202021%2000:55:03%20GMT	http://mydahlia.co.kr/robots.txt		(from )
16:25:30	169492/169492	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:25:27%20GMT	http://mydahlia.co.kr/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/index.html	(from )
16:25:30	13648/13648	---M-Z	200	added ('OK')	text/javascript	etag:%2211658c2a390d60bcc77df55c597376841c0b1a20%22	http://mydahlia.co.kr/ind-script/optimizer.php?filename=08_Iz03VNzQq0i8oyk8vSszVLy8v18_MS-EqTi7KLCjRz0oFY57czDyerGIA&type=js&k=f8c449ff82a3977059c3195db755507c2666c339&t=1625595315	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/ind-script/optimizer4b0c.php	(from http://mydahlia.co.kr/)
16:25:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Dec%202021%2007:25:29%20GMT	http://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/My%20Web%20Sites/sample_md/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.1.delayed	(from http://mydahlia.co.kr/)
16:25:31	12734/12734	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Jul%202021%2003:05:47%20GMT	http://mydahlia.co.kr/weskin_import/css/swiper.min.css	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/weskin_import/css/swiper.min.css	(from http://mydahlia.co.kr/)
16:25:31	36216/36216	---M-Z	200	added ('OK')	text/css	etag:W/%228d78-PbmlkAY03FYSFMaA5teYyx8nbiI%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	C:/My%20Web%20Sites/sample_md/cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css	(from http://mydahlia.co.kr/)
16:25:31	127933/127933	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2030%20Mar%202021%2004:40:17%20GMT	http://mydahlia.co.kr/weskin_import/js/swiper.min.js	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/weskin_import/js/swiper.min.js	(from http://mydahlia.co.kr/)
16:25:33	95848/95848	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2030%20Mar%202021%2004:40:17%20GMT	http://mydahlia.co.kr/weskin_import/js/jquery-1.11.2.min.js	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/weskin_import/js/jquery-1.11.2.min.js	(from http://mydahlia.co.kr/)
16:25:33	5210/5210	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2030%20Mar%202021%2004:40:17%20GMT	http://mydahlia.co.kr/weskin_import/js/jquery.bpopup-0.10.0.min.js	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/weskin_import/js/jquery.bpopup-0.10.0.min.js	(from http://mydahlia.co.kr/)
16:25:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2030%20Dec%202021%2007:25:32%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/sample_md/www.googletagmanager.com/gtm.75445.delayed	(from http://mydahlia.co.kr/)
16:25:34	2208/2208	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2027%20Sep%202021%2022:48:46%20GMT	http://mydahlia.co.kr/app/Eclog/js/cid.generate.js?vs=a8107c4e63cb45f5d57f4101a2b2ef0e	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/app/Eclog/js/cid.generatecade.js	(from http://mydahlia.co.kr/)
